form_record_id,parent_form_id,parent_field_id,parent_record_id,Sample Type,Sample Barcode,Sample Labels (Add Back in Office),Sample Label
rec-3cf78aa80f4241948beddf7400fbe89b,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-9a523cf690a44615afce8f80e356a641,Tissue,15028,,cl-EV164
rec-8d78293f8496492296ad5432f20b1bf1,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-71e072f5c7984a4397930cf5a830e510,Hair,15152,,cl-EV158
rec-65aee0cca65548918d552e69e00f1806,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-71e072f5c7984a4397930cf5a830e510,Hair,15151,,cl-EV159
rec-e2c35bfcc64644a0b01f84d4b9731c63,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-71e072f5c7984a4397930cf5a830e510,Tissue,15153,,cl-EV160
rec-b8dc2cbed1824cdab2ffd7c890bf42ee,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-71e072f5c7984a4397930cf5a830e510,Tooth,14909,,cl-EV161
rec-f52c14cc54224435a8a220e331f8c2f3,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-c3ceed370b7e48e09950c9d56df7325a,Hair,15241,,cl-EV154
rec-d109e2c6f01e42a49e4a367282b87dd2,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-c3ceed370b7e48e09950c9d56df7325a,Hair,15242,,cl-EV155
rec-1dc9ad2535e744ea930ec428345a16f7,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-c3ceed370b7e48e09950c9d56df7325a,Tissue,15243,,cl-EV156
rec-16ac313892cb437a8bd7673c7fd1f7ef,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-c3ceed370b7e48e09950c9d56df7325a,Tooth,15244,,cl-EV157
rec-e0e98bf1aa7c404a978e67200677fe98,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-f4c9552c4a4c4f6d8a69affc1c6ca762,Hair,15237,,cl-EV153
